
Stan hurtowni na dzień 2 12 2012 :

Katowice
31834 11 1453.75 25 12 2012
28153 1 658.05 22 9 2012
33575 31 60.00 15 11 2013
Krakow
10577 6 2031.96 27 12 2012
14833 28 865.92 17 12 2012
Lublin
31834 8 1453.75 30 12 2012
10577 1 2031.96 30 10 2012
28153 1 658.05 30 12 2010

Stan hurtowni na dzień 3 12 2012 :

Katowice
31834 11 1453.75 25 12 2012
28153 1 658.05 22 9 2012
33575 21 60.00 15 11 2013
Krakow
10577 6 2031.96 27 12 2012
14833 26 865.92 17 12 2012
Lublin
31834 8 1453.75 30 12 2012
10577 1 2031.96 30 10 2012
28153 1 658.05 30 12 2010

Stan hurtowni na dzień 4 12 2012 :

Katowice
31834 11 1453.75 25 12 2012
28153 0 658.05 22 9 2012
33575 18 60.00 15 11 2013
Krakow
10577 6 2031.96 27 12 2012
14833 26 865.92 17 12 2012
Lublin
31834 8 1453.75 30 12 2012
10577 1 2031.96 30 10 2012
28153 0 658.05 30 12 2010
